order_id,user_id,order_date,revenue
1,1,2024-02-17,89.57
2,1,2024-01-30,71.11
3,3,2024-02-15,68.64
4,4,2024-01-11,8.99
5,4,2024-01-27,101.82
6,9,2024-02-25,81.41
7,14,2024-02-25,78.86
8,16,2024-03-13,61.3
9,21,2024-01-20,120.52
10,23,2024-01-05,42.47
11,27,2024-02-21,48.34
12,28,2024-02-17,117.71
13,28,2024-02-24,36.38
14,28,2024-02-10,121.67
15,34,2024-02-25,13.55
16,34,2024-02-28,167.94
17,37,2024-01-18,47.62
18,38,2024-02-19,120.94
19,39,2024-02-18,63.35
20,39,2024-02-20,81.19
21,42,2024-02-15,81.49
22,42,2024-03-10,69.97
23,45,2024-01-30,89.12
24,46,2024-03-08,87.22
25,46,2024-03-22,176.36
26,47,2024-02-18,34.81
27,49,2024-01-08,195.21
28,53,2024-02-21,101.19
29,55,2024-01-20,294.17
30,57,2024-01-13,119.03
31,61,2024-01-23,238.72
32,65,2024-02-03,29.01
33,66,2024-02-27,134.34
34,67,2024-02-05,78.07
35,67,2024-01-14,186.64
36,70,2024-02-03,74.3
37,71,2024-02-03,12.51
38,73,2024-02-10,23.11
39,76,2024-03-01,71.93
40,77,2024-02-04,52.36
41,84,2024-03-23,40.5
42,85,2024-02-18,360.65
43,91,2024-02-27,51.42
44,92,2024-02-19,121.43
45,97,2024-01-17,96.37
46,98,2024-02-28,177.38
47,108,2024-02-04,93.9
48,108,2024-02-08,43.87
49,111,2024-03-04,204.64
50,111,2024-03-13,114.26
51,113,2024-03-03,91.34
52,115,2024-02-18,55.83
53,115,2024-03-02,54.88
54,117,2024-01-10,279.8
55,118,2024-01-18,70.77
56,119,2024-02-13,170.31
57,124,2024-01-31,16.49
58,128,2024-02-05,84.77
59,128,2024-02-10,83.04
60,130,2024-02-03,62.27
61,131,2024-02-24,51.53
62,132,2024-02-29,59.66
63,134,2024-03-04,198.45
64,136,2024-03-07,64.41
65,137,2024-02-29,19.68
66,141,2024-03-01,139.71
67,147,2024-01-09,139.8
68,147,2024-01-11,135.87
69,148,2024-02-10,23.91
70,150,2024-03-24,77.2
71,152,2024-02-09,111.61
72,157,2024-02-26,11.11
73,157,2024-02-25,111.34
74,159,2024-01-29,22.09
75,163,2024-01-23,5.25
76,166,2024-01-29,90.0
77,170,2024-02-14,62.7
78,172,2024-02-20,65.23
79,174,2024-03-14,151.61
80,175,2024-01-06,95.78
81,176,2024-02-09,108.45
82,177,2024-02-12,35.64
83,177,2024-02-17,50.98
84,178,2024-02-03,22.85
85,178,2024-01-17,49.55
86,181,2024-02-10,194.72
87,186,2024-01-24,81.08
88,189,2024-02-04,94.63
89,189,2024-02-25,299.6
90,190,2024-02-07,45.9
91,191,2024-02-10,79.91
92,192,2024-02-23,28.26
93,194,2024-03-19,80.1
94,197,2024-03-16,199.94
95,198,2024-03-22,177.19
96,206,2024-03-29,181.83
97,207,2024-02-20,106.55
98,209,2024-02-15,66.33
99,213,2024-02-16,78.14
100,214,2024-02-26,120.21
101,215,2024-01-19,81.93
102,222,2024-02-25,143.17
103,222,2024-02-17,83.43
104,231,2024-01-17,151.46
105,232,2024-01-19,233.26
106,233,2024-02-04,27.71
107,233,2024-02-16,32.74
108,234,2024-02-29,86.27
109,239,2024-02-07,125.33
110,239,2024-03-06,143.49
111,241,2024-01-14,224.24
112,246,2024-01-29,47.11
113,248,2024-01-27,126.98
114,250,2024-02-19,140.22
115,250,2024-02-28,104.68
116,252,2024-02-05,121.35
117,253,2024-02-20,93.16
118,260,2024-02-07,36.99
119,262,2024-03-03,37.11
120,266,2024-02-26,174.4
121,272,2024-01-21,64.25
122,273,2024-01-23,299.9
123,276,2024-02-12,175.98
124,277,2024-02-28,241.58
125,280,2024-02-25,152.05
126,281,2024-01-27,157.1
127,283,2024-01-11,42.01
128,286,2024-01-19,15.87
129,292,2024-02-20,105.84
130,292,2024-02-04,95.28
131,295,2024-02-14,52.47
132,300,2024-03-13,42.53
133,301,2024-01-15,70.39
134,304,2024-01-28,29.03
135,305,2024-02-20,65.46
136,309,2024-03-05,317.62
137,313,2024-01-25,99.98
138,313,2024-01-07,162.83
139,314,2024-02-23,199.34
140,316,2024-02-19,37.41
141,316,2024-02-15,226.07
142,316,2024-02-14,31.09
143,318,2024-01-30,92.19
144,321,2024-03-02,16.24
145,322,2024-03-21,30.51
146,325,2024-02-03,91.56
147,327,2024-02-08,98.48
148,327,2024-02-12,111.39
149,329,2024-02-24,48.01
150,332,2024-03-19,231.31
