user_id,signup_date,country
1,2024-01-28,UK
2,2024-01-24,US
3,2024-02-07,DE
4,2024-01-04,UK
5,2024-02-25,US
6,2024-01-25,CA
7,2024-02-02,UK
8,2024-02-13,UK
9,2024-02-07,US
10,2024-02-08,CA
11,2024-02-20,US
12,2024-01-28,US
13,2024-01-31,CA
14,2024-01-26,DE
15,2024-02-29,DE
16,2024-02-12,CA
17,2024-02-02,CA
18,2024-02-11,US
19,2024-02-22,UK
20,2024-02-24,CA
21,2024-01-12,DE
22,2024-02-02,US
23,2024-01-04,UK
24,2024-02-02,DE
25,2024-02-28,US
26,2024-02-20,CA
27,2024-02-10,DE
28,2024-01-27,DE
29,2024-02-16,US
30,2024-02-14,DE
31,2024-01-02,UK
32,2024-02-12,US
33,2024-02-25,CA
34,2024-02-21,UK
35,2024-01-20,US
36,2024-01-09,US
37,2024-01-04,US
38,2024-01-30,UK
39,2024-01-29,DE
40,2024-02-03,UK
41,2024-01-27,CA
42,2024-02-09,UK
43,2024-02-02,US
44,2024-02-04,CA
45,2024-01-23,UK
46,2024-03-01,DE
47,2024-02-03,CA
48,2024-02-01,US
49,2024-01-03,DE
50,2024-02-13,DE
51,2024-01-18,DE
52,2024-01-25,CA
53,2024-01-27,DE
54,2024-02-04,DE
55,2024-01-03,DE
56,2024-02-05,US
57,2024-01-03,CA
58,2024-01-02,CA
59,2024-01-20,CA
60,2024-01-02,US
61,2024-01-20,UK
62,2024-02-07,DE
63,2024-01-06,US
64,2024-01-25,US
65,2024-01-12,US
66,2024-02-01,UK
67,2024-01-07,DE
68,2024-01-08,DE
69,2024-01-03,US
70,2024-01-31,UK
71,2024-01-23,DE
72,2024-02-13,US
73,2024-02-03,DE
74,2024-02-07,DE
75,2024-02-07,CA
76,2024-02-02,CA
77,2024-01-29,US
78,2024-01-17,US
79,2024-02-09,CA
80,2024-02-03,UK
81,2024-02-05,US
82,2024-01-06,CA
83,2024-01-26,CA
84,2024-02-26,CA
85,2024-02-17,UK
86,2024-03-01,UK
87,2024-03-01,US
88,2024-02-03,US
89,2024-01-31,US
90,2024-02-26,DE
91,2024-01-31,CA
92,2024-02-16,DE
93,2024-01-08,CA
94,2024-02-10,DE
95,2024-01-09,UK
96,2024-02-23,DE
97,2024-01-07,US
98,2024-02-21,US
99,2024-02-12,DE
100,2024-02-19,US
101,2024-01-03,CA
102,2024-02-28,UK
103,2024-02-23,US
104,2024-02-09,DE
105,2024-02-10,UK
106,2024-01-17,US
107,2024-01-09,CA
108,2024-01-18,DE
109,2024-01-20,CA
110,2024-01-22,UK
111,2024-02-26,CA
112,2024-02-10,CA
113,2024-02-11,CA
114,2024-01-08,CA
115,2024-02-07,US
116,2024-03-01,DE
117,2024-01-04,UK
118,2024-01-02,CA
119,2024-01-30,UK
120,2024-02-25,DE
121,2024-02-29,DE
122,2024-01-05,CA
123,2024-01-30,DE
124,2024-01-21,CA
125,2024-01-15,CA
126,2024-01-02,CA
127,2024-02-04,US
128,2024-01-24,UK
129,2024-02-03,DE
130,2024-01-13,US
131,2024-02-19,DE
132,2024-02-16,CA
133,2024-02-01,US
134,2024-02-08,CA
135,2024-02-22,CA
136,2024-02-18,US
137,2024-01-31,CA
138,2024-01-08,DE
139,2024-02-07,DE
140,2024-02-12,CA
141,2024-02-22,CA
142,2024-01-07,UK
143,2024-01-03,UK
144,2024-01-15,CA
145,2024-02-06,UK
146,2024-01-20,CA
147,2024-01-05,UK
148,2024-01-28,UK
149,2024-01-27,CA
150,2024-02-28,UK
151,2024-02-23,UK
152,2024-01-21,UK
153,2024-02-26,UK
154,2024-01-03,DE
155,2024-01-11,UK
156,2024-01-12,DE
157,2024-02-08,UK
158,2024-01-20,UK
159,2024-01-15,DE
160,2024-02-02,DE
161,2024-01-01,DE
162,2024-01-27,CA
163,2024-01-14,DE
164,2024-01-12,DE
165,2024-02-07,UK
166,2024-01-10,UK
167,2024-02-22,US
168,2024-02-05,CA
169,2024-01-19,CA
170,2024-02-05,US
171,2024-01-09,CA
172,2024-01-22,DE
173,2024-02-23,CA
174,2024-02-16,US
175,2024-01-01,US
176,2024-01-10,US
177,2024-02-08,CA
178,2024-01-16,CA
179,2024-01-13,DE
180,2024-01-20,DE
181,2024-01-23,CA
182,2024-01-15,DE
183,2024-01-17,DE
184,2024-01-26,CA
185,2024-02-04,DE
186,2024-01-17,UK
187,2024-01-18,US
188,2024-02-03,CA
189,2024-02-02,DE
190,2024-01-31,DE
191,2024-01-13,UK
192,2024-02-14,CA
193,2024-01-09,DE
194,2024-02-25,US
195,2024-01-03,UK
196,2024-01-06,US
197,2024-02-29,CA
198,2024-02-29,DE
199,2024-02-25,US
200,2024-01-19,DE
201,2024-02-03,DE
202,2024-02-16,CA
203,2024-01-19,US
204,2024-01-21,US
205,2024-01-12,CA
206,2024-03-01,DE
207,2024-02-15,CA
208,2024-01-15,UK
209,2024-01-16,US
210,2024-02-29,UK
211,2024-02-02,US
212,2024-02-16,CA
213,2024-02-05,CA
214,2024-02-23,UK
215,2024-01-03,CA
216,2024-02-24,CA
217,2024-02-09,DE
218,2024-01-14,UK
219,2024-01-22,US
220,2024-02-19,DE
221,2024-01-29,UK
222,2024-01-26,US
223,2024-01-28,UK
224,2024-01-22,US
225,2024-02-05,US
226,2024-01-15,DE
227,2024-01-13,DE
228,2024-02-22,DE
229,2024-02-27,CA
230,2024-01-13,UK
231,2024-01-15,US
232,2024-01-19,US
233,2024-02-01,CA
234,2024-02-15,DE
235,2024-02-10,DE
236,2024-02-13,DE
237,2024-01-01,CA
238,2024-01-01,UK
239,2024-02-07,US
240,2024-02-19,US
241,2024-01-10,DE
242,2024-02-27,DE
243,2024-01-22,US
244,2024-02-15,UK
245,2024-01-29,CA
